No|Chinese|Pinyin|English|part_of_speech
739|当心|dāngxīn|Watch out|verb
740|挡|dǎng|block|verb
741|岛屿|dǎoyǔ|Islands|noun
742|导演|dǎoyǎn|director|noun
743|导致|dǎozhì|cause|verb
744|到达|dàodá|Arrive|verb
745|道德|dàodé|Morality|noun
746|等待|děngdài|wait for|verb
747|的确|díquè|indeed; be certain to|adverb
748|地道|dìdao|tunnel|noun
749|地理|dìlǐ|Geography|noun
750|地区|dìqū|region|noun
751|地位|dìwèi|status|noun
752|点心|diǎnxin|snack|noun
753|电台|diàntái|radio station|noun
754|钓|diào|Fishing|verb
755|洞|dòng|hole|noun
756|豆腐|dòufu|Bean curd|noun
757|独立|dúlì|Independent|adjective
758|断|duàn|break|verb
759|堆|duī|heap|noun
760|对方|duìfāng|the other party|noun
761|对象|duìxiàng|object|noun
762|兑换|duìhuàn|exchange|verb
763|蹲|dūn|squat|verb
764|多余|duōyú|surplus|adjective
765|躲藏|duǒcáng|Hide oneself|verb
766|恶劣|èliè|Adverse|adjective
767|耳环|ěrhuán|Earrings|noun
768|发愁|fāchóu|To be worried|verb
769|发抖|fādǒu|Tremble|verb
770|发明|fāmíng|Invention|noun
771|翻|fān|Turn|verb
772|反复|fǎnfù|Repeatedly|adverb
773|反映|fǎnyìng|reflect|verb
774|方|fāng|square|noun
775|仿佛|fǎngfú|as if|adverb
776|非|fēi|wrong; non|adjective
777|废话|fèihuà|Crap|noun
778|分别|fēnbié|part|verb
779|分配|fēnpèi|distribution|noun
780|分析|fēnxī|Analysis|noun
781|纷纷|fēnfēn|one after another|adverb
782|奋斗|fèndòu|Struggle|verb
783|风格|fēnggé|style|noun
784|风俗|fēngsú|Customs|noun
785|疯狂|fēngkuáng|Insane|adjective
786|否定|fǒudìng|negative|adjective
787|幅|fú|classifier of picture|measure word
788|服装|fúzhuāng|costume; dress|noun
789|辅导|fǔdǎo|Coach|verb
790|妇女|fùnǚ|Woman|noun
791|改革|gǎigé|reform|verb
792|改善|gǎishàn|Improve|verb
793|盖|gài|cover|verb
794|概念|gàiniàn|concept|noun
795|干脆|gāncuì|simply|adverb
796|干燥|gānzào|Dry|adjective
797|感激|gǎnjī|Appreciate|verb
798|感受|gǎnshòu|feel|verb
799|赶紧|gǎnjǐn|Quickly|adverb
800|钢铁|gāngtiě|steel|noun
801|高档|gāodàng|High-grade
802|搞|gǎo|get
803|格外|géwài|especially
804|个别|gèbié|individual
805|个性|gèxìng|personality
806|根|gēn|root
807|公布|gōngbù|Publish
808|公元|gōngyuán|A.D.
809|公主|gōngzhǔ|princess
810|工程师|gōngchéngshī|Engineer
811|工人|gōngrén|Worker
812|恭喜|gōngxǐ|congratulations
813|贡献|gòngxiàn|contribution
814|构成|gòuchéng|constitute
815|姑姑|gūgu|aunt
816|古典|gǔdiǎn|classical
817|鼓舞|gǔwǔ|Inspire
818|股票|gǔpiào|shares; stock
819|固定|gùdìng|fixed
820|挂号|guàhào|Register
821|拐弯|guǎiwān|Turn
822|官|guān|officer
823|关闭|guānbì|close; shut
824|观点|guāndiǎn|viewpoint
825|管子|guǎnzi|pipe
826|光临|guānglín|presence
827|光盘|guāngpán|CD
828|广场|guǎngchǎng|square
829|广泛|guǎngfàn|widely
830|规矩|guīju|Rules
831|规模|guīmó|scale
832|归纳|guīnà|Induce
833|柜台|guìtái|Counter
834|锅|guō|pot
835|国王|guówáng|king
836|果然|guǒrán|Sure enough
837|过分|guòfèn|excessive
838|过期|guòqī|Be overdue
839|哈|hā|ah
840|海关|hǎiguān|Customs
841|喊|hǎn|shout
842|行业|hángyè|industry
843|好客|hàokè|Hospitable
844|和平|hépíng|peace
845|何况|hékuàng|Not to mention
846|合影|héyǐng|Group photo
847|核心|héxīn|core
848|后果|hòuguǒ|Consequence
849|忽然|hūrán|suddenly
850|呼吸|hūxī|breathing
851|蝴蝶|húdié|Butterfly
852|胡同|hútòng|Hutong
853|华裔|huáyì|Chinese born
854|滑|huá|slippery
855|化学|huàxué|Chemistry
856|缓解|huǎnjiě|relieve
857|幻想|huànxiǎng|fantasy
858|挥|huī|Essential
859|灰尘|huīchén|dust
860|恢复|huīfù|recovery
861|汇率|huìlǜ|exchange rate
862|婚姻|hūnyīn|Marriage
863|火柴|huǒchái|Match
864|激烈|jīliè|fierce
865|肌肉|jīròu|muscle
866|极其|jíqí|extremely
867|集体|jítǐ|collective
868|急忙|jímáng|Hastily
869|记录|jìlù|Record
870|计算|jìsuàn|Calculation
871|系领带|jìlǐngdài|wear a tie
872|纪律|jìlǜ|discipline
873|寂寞|jìmò|lonely
874|家庭|jiātíng|Family
875|家乡|jiāxiāng|Hometown
876|夹子|jiāzi|Clip
877|假设|jiǎshè|in case of
878|嫁|jià|get married to
879|价值|jiàzhí|value
880|肩膀|jiānbǎng|shoulder
881|坚决|jiānjué|firm, determined
882|艰巨|jiānjù|arduous
883|兼职|jiānzhí|Part-time job
884|简历|jiǎnlì|resume
885|剪刀|jiǎndāo|scissors
886|建立|jiànlì|establish
887|讲究|jiǎngjiu|Pay attention to; daintily
888|交际|jiāojì|communication
889|胶水|jiāoshuǐ|glue
890|狡猾|jiǎohuá|cunning
891|教练|jiàoliàn|coach
892|接触|jiēchù|Contact
893|接近|jiējìn|near
894|阶段|jiēduàn|stage
895|戒指|jièzhi|Ring
896|金属|jīnshǔ|Metal
897|进口|jìnkǒu|Imported
898|尽力|jìnlì|Try the best
899|精力|jīnglì|energy
900|经商|jīngshāng|be in business; trade
901|经营|jīngyíng|Management
902|酒吧|jiǔbā|Bar
903|救护车|jiùhùchē|Ambulance
904|居然|jūrán|actually
905|具体|jùtǐ|specific
906|俱乐部|jùlèbù|Club
907|据说|jùshuō|allegedly; it`s said
908|捐|juān|Donate
909|决心|juéxīn|Determination
910|角色|juésè|role
911|均匀|jūnyún|uniformity
912|卡车|kǎchē|Truck
913|开发|kāifā|Development
914|开幕式|kāimùshì|The opening ceremony
915|看望|kànwàng|visit
916|靠|kào|lean
917|颗|kē|pellet (measure word)
918|可靠|kěkào|reliable
919|课程|kèchéng|curriculum
920|克服|kèfú|Overcome
921|刻苦|kèkǔ|Hardworking
922|空间|kōngjiān|space
923|空闲|kòngxián|free
924|夸张|kuāzhāng|exagerate
925|会计|kuàijì|accountant
926|宽|kuān|wide
927|昆虫|kūnchóng|insect
928|拦|lán|Stop
929|朗读|lǎngdú|Reading aloud
930|劳驾|láojià|Excuse me
931|老百姓|lǎobǎixìng|Ordinary people
932|老实|lǎoshi|honest
933|老婆|lǎopó|wife
934|乐观|lèguān|optimistic
935|雷|léi|Thunder
936|类型|lèixíng|type
937|冷淡|lěngdàn|cool attitude
938|梨|lí|pear
939|离婚|líhūn|divorce
940|厘米|límǐ|centimeter
941|立即|lìjí|immediately
942|利润|lìrùn|profit
943|利益|lìyì|interest
944|连续|liánxù|serial
945|恋爱|liàn’ài|Love, in love
946|良好|liánghǎo|good
947|粮食|liángshi|foodstuff
948|亮|liàng|bright
949|铃|líng|bell
950|零件|língjiàn|Spare parts
951|零食|língshí|snacks
952|领导|lǐngdǎo|Leader
953|流泪|liúlèi|Shed tears
954|陆续|lùxù|One after another
955|录音|lùyīn|Sound recording
956|轮流|lúnliú|take turns
957|逻辑|luóji|logic
958|馒头|mántou|Steamed buns
959|毛病|máobìng|Trouble
960|矛盾|máodùn|contradiction
961|贸易|màoyì|Trade
962|媒体|méitǐ|media
963|煤炭|méitàn|coal
964|魅力|mèilì|charm
965|梦想|mèngxiǎng|Dream
966|蜜蜂|mìfēng|honeybee
967|密切|mìqiè|close
968|秘书|mìshū|secretary
969|面积|miànjī|The measure of area
970|描写|miáoxiě|describe
971|敏感|mǐngǎn|Sensitive
972|明星|míngxīng|Star
973|名片|míngpiàn|business card
974|命运|mìngyùn|fate, destiny
975|模仿|mófǎng|imitate
976|模特|mótè|model
977|陌生|mòshēng|strange
978|目前|mùqián|at present
979|难怪|nánguài|no wonder
980|内部|nèibù|interior
981|嗯|en|Well
982|念|niàn|Read
983|浓|nóng|strong
984|农民|nóngmín|farmer
985|欧洲|Ōuzhōu|Europe
986|偶然|ǒurán|accidental
987|拍|pāi|beat
988|盼望|pànwàng|look forward to
989|培训|péixùn|Train
990|佩服|pèifu|Admire
991|盆|pén|basin, pot
992|碰|pèng|touch, meet
993|批|pī|batch
994|批准|pīzhǔn|Approval
995|疲劳|píláo|fatigue
996|匹|pǐ|Horse (meaure word)
997|片|piàn|slice
998|飘|piāo|Gone with the wind
999|频道|píndào|channel
1000|凭|píng|By
1001|平安|píng’ān|sound and safe
1002|平等|píngděng|equality
1003|平衡|pínghéng|balance
1004|平均|píngjūn|Average
1005|破产|pòchǎn|bankruptcy
1006|迫切|pòqiè|urgent
1007|期间|qījiān|Period
1008|其余|qíyú|Rest
1009|企业|qǐyè|enterprise
1010|前途|qiántú|future
1011|欠|qiàn|owe
1012|墙|qiáng|wall
1013|强烈|qiángliè|strong
1014|切|qiē|cut
1015|亲自|qīnzì|personally
1016|青|qīng|young
1017|青少年|qīngshàonián|Teenagers
1018|轻易|qīngyì|easily
1019|清淡|qīngdàn|light
1020|情景|qíngjǐng|scene
1021|情绪|qíngxù|emotion
1022|庆祝|qìngzhù|Celebrate
1023|娶|qǔ|marry
1024|取消|qǔxiāo|cancel
1025|圈|quān|circle
1026|全面|quánmiàn|comprehensive
1027|权利|quánlì|right, interest
1028|确定|quèdìng|Determine
1029|热烈|rèliè|warm
1030|人口|rénkǒu|population
1031|人民币|rénmínbì|RMB
1032|人事|rénshì|Personnel matters
1033|人员|rényuán|personnel
1034|日常|rìcháng|daily
1035|日期|rìqī|Date
1036|日子|rìzi|life, days
1037|如今|rújīn|nowadays
1038|软|ruǎn|soft
1039|弱|ruò|weak
1040|色彩|sècǎi|color
1041|杀|shā|kill
1042|沙漠|shāmò|Desert
1043|傻|shǎ|silly
1044|删除|shānchú|delete
1045|善良|shànliáng|kind; virtuous
1046|扇子|shànzi|Fan
1047|商业|shāngyè|business
1048|上当|shàngdàng|When
1049|蛇|shé|snake
1050|设备|shèbèi|equipment
1051|设施|shèshī|facilities
1052|射击|shèjī|Shooting
1053|身材|shēncái|figure
1054|神话|shénhuà|Myth
1055|升|shēng|rise
1056|生产|shēngchǎn|production
1057|声调|shēngdiào|Tone
1058|绳子|shéngzi|Rope
1059|省略|shěnglüè|ellipsis
1060|胜利|shènglì|victory
1061|失去|shīqù|Lose
1062|失业|shīyè|Unemployment
1063|湿润|shīrùn|Moist
1064|时差|shíchā|time difference
1065|时刻|shíkè|time
1066|时期|shíqī|period
1067|实话|shíhuà|The truth
1068|实践|shíjiàn|practice
1069|实现|shíxiàn|Realization
1070|实用|shíyòng|Practical
1071|食物|shíwù|food
1072|士兵|shìbīng|soldiers
1073|似的|shìde|Likely
1074|事实|shìshí|Fact
1075|事先|shìxiān|Prior
1076|收获|shōuhuò|Harvest
1077|手套|shǒutào|glove
1078|手指|shǒuzhǐ|finger
1079|蔬菜|shūcài|Vegetables
1080|舒适|shūshì|Comfortable
1081|梳子|shūzi|comb
1082|属于|shǔyú|belong to
1083|数|shǔ|to count
1084|甩|shuǎi|Rejection
1085|说不定|shuōbudìng|maybe
1086|撕|sī|tear
1087|丝毫|sīháo|A bit
1088|思考|sīkǎo|Reflection
1089|私人|sīrén|private
1090|搜索|sōusuǒ|search
1091|宿舍|sùshè|dormitory
1092|随时|suíshí|at any time
1093|随手|suíshǒu|Readily
1094|缩短|suōduǎn|Shorten
1095|所|suǒ|place
1096|太太|tàitai|Ma’am
1097|谈判|tánpàn|negotiation
1098|坦率|tǎnshuài|frank
1099|烫|tàng|Hot
1100|桃|táo|peach
1101|逃避|táobì|escape
1102|特殊|tèshū|special
1103|特征|tèzhēng|Features
1104|疼爱|téng’ài|Love dearly
1105|提纲|tígāng|outline
1106|提问|tíwèn|Put questions to
1107|体会|tǐhuì|Experience
1108|体现|tǐxiàn|Reflect
1109|调皮|tiáopí|naughty
1110|挑战|tiǎozhàn|challenge
1111|痛苦|tòngkǔ|Pain
1112|投入|tóurù|put into
1113|透明|tòumíng|transparent
1114|土地|tǔdì|land
1115|吐|tù|spit
1116|团|tuán|group
1117|推广|tuīguǎng|Extension
1118|退步|tuìbù|Backward
1119|歪|wāi|Crooked
1120|外交|wàijiāo|International Relations
1121|完美|wánměi|perfect
1122|完善|wánshàn|perfect
1123|王子|wángzǐ|prince
1124|往返|wǎngfǎn|Return
1125|网络|wǎngluò|network
1126|危害|wēihài|Harm
1127|微笑|wēixiào|Smile
1128|违反|wéifǎn|Violation
1129|围巾|wéijīn|scarf
1130|唯一|wéiyī|Only
1131|伟大|wěidà|great
1132|胃口|wèikǒu|Appetite
1133|位置|wèizhì|position
1134|未来|wèilái|Future
1135|温暖|wēnnuǎn|warm
1136|闻|wén|smell
1137|文件|wénjiàn|file
1138|文明|wénmíng|civilization
1139|文字|wénzì|writing, character
1140|吻|wěn|kiss
1141|握手|wòshǒu|Handshake
1142|屋子|wūzi|House
1143|无奈|wúnài|have no choice
1144|无所谓|wúsuǒwèi|cannot be designated as
1145|武术|wǔshù|A martial art
1146|雾|wù|Fog
1147|物理|wùlǐ|Physics
1148|吸收|xīshōu|absorb
1149|系|xì|department
1150|细节|xìjié|details
1151|瞎|xiā|blind
1152|鲜艳|xiānyàn|Colorful
1153|显得|xiǎnde|Appear, seem
1154|显示|xiǎnshì|display
1155|现代|xiàndài|modern
1156|现实|xiànshí|reality
1157|限制|xiànzhì|limit
1158|相处|xiāngchǔ|Get along with
1159|相对|xiāngduì|Relative
1160|相关|xiāngguān|correlate
1161|想象|xiǎngxiàng|imagine
1162|项|xiàng|term
1163|项目|xiàngmù|project
1164|象棋|xiàngqí|Xiangqi
1165|消费|xiāofèi|consumption
1166|消化|xiāohuà|Digestion
1167|销售|xiāoshòu|Sale
1168|小麦|xiǎomài|Wheat
1169|效率|xiàolǜ|efficiency
1170|歇|xiē|Rest
1171|欣赏|xīnshǎng|Appreciate
1172|信号|xìnhào|signal
1173|行动|xíngdòng|Get some action
1174|行人|xíngrén|pedestrian
1175|形成|xíngchéng|formation
1176|形式|xíngshì|form
1177|形象|xíngxiàng|image
1178|性质|xìngzhì|Nature
1179|幸亏|xìngkuī|Thanks
1180|胸|xiōng|chest
1181|修改|xiūgǎi|modify
1182|休闲|xiūxián|Leisure time
1183|叙述|xùshù|Narration
1184|宣传|xuānchuán|Propaganda
1185|学历|xuélì|education degree
1186|学问|xuéwen|knowledge
1187|血|xuè|blood
1188|寻找|xúnzhǎo|Seek, look for
1189|迅速|xùnsù|rapid
1190|延长|yáncháng|extend
1191|严肃|yánsù|serious
1192|演讲|yǎnjiǎng|speech
1193|阳台|yángtái|balcony
1194|摇|yáo|shake
1195|要不|yàobù|Or
1196|业务|yèwù|business
1197|一辈子|yíbèizi|A lifetime
1198|一律|yílǜ|all and singular
1199|移动|yídòng|move
1200|遗憾|yíhàn|pity
1201|乙|yǐ|
1202|以及|yǐjí|as well as
1203|亿|yì|Billion
1204|意义|yìyì|Significance
1205|因而|yīn’ér|thus
1206|银|yín|silver
1207|印刷|yìnshuā|printing
1208|英雄|yīngxióng|Hero
1209|迎接|yíngjiē|meet, welcome
1210|营业|yíngyè|Do business
1211|影子|yǐngzi|shadow
1212|硬件|yìngjiàn|Hardware
1213|拥抱|yōngbào|embrace
1214|用途|yòngtú|purpose
1215|优美|yōuměi|Graceful
1216|游览|yóulǎn|visit
1217|犹豫|yóuyù|hesitate
1218|幼儿园|yòu’éryuán|Kindergarten
1219|与其|yǔqí|Rather than
1220|语气|yǔqì|tone
1221|预订|yùdìng|book; subscribe for
1222|玉米|yùmǐ|Corn
1223|原料|yuánliào|raw material
1224|原则|yuánzé|Principle
1225|乐器|yuèqì|instrument
1226|运输|yùnshū|transport
1227|在于|zàiyú|rest with
1228|赞美|zànměi|Praise
1229|则|zé|be
1230|摘|zhāi|pick
1231|粘贴|zhāntiē|paste
1232|展览|zhǎnlǎn|exhibition
1233|占|zhàn|occupy
1234|战争|zhànzhēng|War
1235|长辈|zhǎngbèi|Elder
1236|涨|zhǎng|rise
1237|招待|zhāodài|Entertain
1238|着火|zháohuǒ|on fire
1239|着凉|zháoliáng|get cold
1240|召开|zhàokāi|convene
1241|照常|zhàocháng|as usual
1242|哲学|zhéxué|Philosophy
1243|真实|zhēnshí|real
1244|针对|zhēnduì|aim at
1245|诊断|zhěnduàn|Diagnosis
1246|振动|zhèndòng|Vibration
1247|争论|zhēnglùn|debate
1248|征求|zhēngqiú|ask for
1249|整体|zhěngtǐ|Whole
1250|政治|zhèngzhì|Politics
1251|证据|zhèngjù|evidence
1252|挣|zhèng|earn, make
1253|直|zhí|straight
1254|执照|zhízhào|License
1255|指挥|zhǐhuī|command
1256|制度|zhìdù|system
1257|制作|zhìzuò|Make
1258|至今|zhìjīn|so far
1259|至于|zhìyú|As for
1260|治疗|zhìliáo|Treatment
1261|志愿者|zhìyuànzhě|Volunteer
1262|中心|zhōngxīn|core
1263|种类|zhǒnglèi|type
1264|重大|zhòngdà|significant
1265|重量|zhòngliàng|weight
1266|猪|zhū|pig
1267|逐渐|zhújiàn|gradually
1268|煮|zhǔ|cook
1269|主动|zhǔdòng|active
1270|主人|zhǔrén|master
1271|主席|zhǔxí|Chairman
1272|主张|zhǔzhāng|opinion
1273|祝福|zhùfú|blessing
1274|注册|zhùcè|register
1275|抓紧|zhuājǐn|Pay close attention to, grasp
1276|转变|zhuǎnbiàn|change
1277|装饰|zhuāngshì|decorate
1278|撞|zhuàng|Hit
1279|状态|zhuàngtài|state
1280|追求|zhuīqiú|Pursuit
1281|资金|zījīn|capital
1282|资源|zīyuán|Resources
1283|咨询|zīxún|Consultation
1284|字母|zìmǔ|Letter
1285|自从|zìcóng|Since
1286|自豪|zìháo|Proud
1287|自觉|zìjué|Conscious
1288|自私|zìsī|selfish
1289|自愿|zìyuàn|voluntarily
1290|总裁|zǒngcái|CEO
1291|总统|zǒngtǒng|President
1292|组|zǔ|group
1293|组合|zǔhé|combination
1294|阻止|zǔzhǐ|prevent
1295|醉|zuì|drunk
1296|最初|zuìchū|First, at the beginning
1297|尊敬|zūnjìng|respect
1298|遵守|zūnshǒu|comply with
1299|作品|zuòpǐn|works
1300|作为|zuòwéi|As
